material_id,filename,title_candidate,author_candidate,year_candidate,candidate_source,content_status,page_count,text_characters,sha256,original_path,original_url,linked_source_id
MAT-13CFB90F59,SRC-13CFB90F59.pdf,AI Agents in Action,Micheal Lanham,2025,pdf-metadata,full-text-extracted,346,613588,13cfb90f59eb5bcf625ed8b728e38c0749a81f0fc07930897a3399b0fc1e3834,originals/SRC-13CFB90F59.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/SRC-13CFB90F59.pdf,SRC-13CFB90F59
MAT-3885929C65,3885929C6526E2D9__LPTechniquesProlog.pdf,Τεχνικές Λογικού Προγραμματισμού,,2015,pdf-metadata,full-text-extracted,327,840511,3885929c6526e2d9e24885c6388a13bb0982d9de88f11e562732952ccbcf71b3,originals/unidentified/3885929C6526E2D9__LPTechniquesProlog.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/3885929C6526E2D9__LPTechniquesProlog.pdf,
MAT-57F4845C32,SRC-E33EBFE4F4.pdf,Toward theoretical understandings of robust Markov decision processes: Sample complexity and asymptotics,"Wenhao Yang, Liangyu Zhang, Zhihua Zhang",2022,pdf-metadata,full-text-extracted,26,79537,57f4845c3240022b69915c3e7e1936da1e9d17e203f34160addf61a9ae5a5854,originals/SRC-E33EBFE4F4.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/SRC-E33EBFE4F4.pdf,SRC-E33EBFE4F4
MAT-589A4A178F,589A4A178FF1357F__original.pdf,original,,2016,first-page-or-filename,full-text-extracted,181,359803,589a4a178ff1357f249a36be4236d529bd7aced912f3d748d6c040a3421f908a,originals/unidentified/589A4A178FF1357F__original.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/589A4A178FF1357F__original.pdf,
MAT-5F18075EE6,5F18075EE69C60C5__02_chapter_04.pdf,Μηχανική Μάθηση [http://hdl.handle.net/11419/3382],"Γεωργούλη, Αικατερίνη",2016,pdf-metadata,full-text-extracted,73,135511,5f18075ee69c60c58bc2f4670625de3c0b00d7f3ed70c38791ca4519118f2212,originals/unidentified/5F18075EE69C60C5__02_chapter_04.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/5F18075EE69C60C5__02_chapter_04.pdf,
MAT-6799C781D0,SRC-13CFB90F59__alternative-6799C781D0.pdf,AI Agent in pratica,Micheal Lanham,2025,pdf-metadata,full-text-extracted,400,575548,6799c781d0337086ec9511aced5e1cf42855bc1c7acc27a50bdac508d88f3bab,originals/SRC-13CFB90F59__alternative-6799C781D0.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/SRC-13CFB90F59__alternative-6799C781D0.pdf,
MAT-6E43CBD6C9,6E43CBD6C9C3CF1D__02_chapter_06.pdf,Νοήμονες Πράκτορες [http://hdl.handle.net/11419/3384],"Γεωργούλη, Αικατερίνη",2016,pdf-metadata,full-text-extracted,25,53103,6e43cbd6c9c3cf1d9d72c9a067d9df7dd4ba7301ae893da4a385ea16c1b237cf,originals/unidentified/6E43CBD6C9C3CF1D__02_chapter_06.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/6E43CBD6C9C3CF1D__02_chapter_06.pdf,
MAT-70A0C89F93,SRC-70A0C89F93.pdf,"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",Ranjan Sapkota,2025,pdf-metadata,full-text-extracted,30,201199,70a0c89f937f35af4e6af06dff86be7121f67882130d787bdf6cc0ff9730bba7,originals/SRC-70A0C89F93.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/SRC-70A0C89F93.pdf,SRC-70A0C89F93
MAT-71A2ACCC0D,71A2ACCC0DACBAAD__original.pdf,ΑΛΓΟΡΙΘΜΙΚΗ ΘΕΩΡΙΑ,,2016,first-page-or-filename,full-text-extracted,217,492164,71a2accc0dacbaade2994a333ac5f74d1fcc0f85124a654d144d1082b893e32d,originals/unidentified/71A2ACCC0DACBAAD__original.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/71A2ACCC0DACBAAD__original.pdf,
MAT-7AEBFE937B,SRC-5AD59E3C40__alternative-7AEBFE937B.pdf,Αναδρομικά ασαφή συστήματα,"Μαστοροκώστας, Πάρις",2023,pdf-metadata,full-text-extracted,25,61807,7aebfe937b617a389317d1804b0852972d22cf120070511ca52125760156b9fd,originals/SRC-5AD59E3C40__alternative-7AEBFE937B.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/SRC-5AD59E3C40__alternative-7AEBFE937B.pdf,
MAT-7FE66E620F,7FE66E620F8C6A63__Reinforcement Learning and stochastic games.pdf,Reinforcement Learning and stochastic games,kalou,2021,first-page-or-filename,full-text-extracted,2,3407,7fe66e620f8c6a63073fa965db83f86f1669a1d6fa91f84c3d45c505942c6457,originals/unidentified/7FE66E620F8C6A63__Reinforcement Learning and stochastic games.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/7FE66E620F8C6A63__Reinforcement%20Learning%20and%20stochastic%20games.pdf,
MAT-857A946D82,857A946D82087CB9__Logic and Functional Programming PDF.pdf,Logic and Functional Programming PDF,,2016,first-page-or-filename,full-text-extracted,225,1419734,857a946d82087cb97e7c24ddaac8cc5bcf467b76a0cd9d8394efc90a3d1ef5f0,originals/unidentified/857A946D82087CB9__Logic and Functional Programming PDF.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/857A946D82087CB9__Logic%20and%20Functional%20Programming%20PDF.pdf,
MAT-87DC591A94,87DC591A949CE032__original.pdf,original,,2015,first-page-or-filename,full-text-extracted,231,567606,87dc591a949ce032163458a4a2f68ae4e62f25ae13178916da9bcb82e33b45f8,originals/unidentified/87DC591A949CE032__original.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/87DC591A949CE032__original.pdf,
MAT-88EF296CE8,88EF296CE8DA2D57__02_chapter_2.pdf,Μαρκοβιανές Αλυσίδες [http://hdl.handle.net/11419/6005],"Λουλάκης, Μιχαήλ",2019,pdf-metadata,full-text-extracted,19,42313,88ef296ce8da2d57e0c46e5d8308178b38e332179c2834c971e5b86d41e38e3e,originals/unidentified/88EF296CE8DA2D57__02_chapter_2.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/88EF296CE8DA2D57__02_chapter_2.pdf,
MAT-BB6A0F7667,BB6A0F7667233F30__lpTechniques_Chapter1.pdf,Τεχνικές Λογικού Προγραμματισμού,,2015,pdf-metadata,full-text-extracted,10,35966,bb6a0f7667233f309d259504cba727886fe5d0d2309427491d484d0e29b5c1a3,originals/unidentified/BB6A0F7667233F30__lpTechniques_Chapter1.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/BB6A0F7667233F30__lpTechniques_Chapter1.pdf,
MAT-BC851295BC,BC851295BCF9F06F__original.pdf,ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΣΤΑΤΙΣΤΙΚΗ,,2017,first-page-or-filename,full-text-extracted,475,734716,bc851295bcf9f06f7c6502e818425357421fa0ed3dfad06ffa583b44017a4167,originals/unidentified/BC851295BCF9F06F__original.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/unidentified/BC851295BCF9F06F__original.pdf,
MAT-C7E22C59DE,SRC-C7E22C59DE.pdf,BRKETI-1008,Roshan Ganjei -X (rganjei - CHANNEL IMPACT at Cisco),2025,pdf-metadata,full-text-extracted,99,53614,c7e22c59deb823be49b0e38cce88c1a0138bde94efd1e07331b87947aed2c52c,originals/SRC-C7E22C59DE.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/SRC-C7E22C59DE.pdf,SRC-C7E22C59DE
MAT-D9381B36C1,SRC-93384F0217__conflict-C891E12BF5.pdf,SRC 93384F0217 conflict C891E12BF5,,2022,first-page-or-filename,full-text-extracted,8,49561,d9381b36c12d791db9726d224ae67442e63cf73e573d073766bd651a996e9fc4,originals/SRC-93384F0217__conflict-C891E12BF5.pdf,https://github.com/MariosGiannakaras/ThesisBibliography/blob/e46693d4201cf47c118eb61c216243f3c5798e28/originals/SRC-93384F0217__conflict-C891E12BF5.pdf,
