Κωδικός,Ρόλος,Κατάσταση,Κεφάλαια,Θέματα,Εξαγωγή,Σημείωση,Τίτλος,Σύνδεσμος,Commit βιβλιογραφίας
SRC-01BBBA7EAB,υποστηρικτική,επαληθευμένη,,εύρωστη ενισχυτική μάθηση; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,ναι,Συγχρονισμός από canonical analysis.,Robust Reinforcement Learning in POMDPs with Incomplete and Noisy Observations,https://arxiv.org/abs/1902.05795,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-0406E13B97,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Safety metrics; Non-stationarity taxonomy; Threats to validity,safe continual RL; changing constraints; adaptation time; CMDP; soft guarantees,ναι,Πρόσφατος χάρτης πεδίου για performance και safety κατά την προσαρμογή· οι κεντρικοί αλγοριθμικοί ισχυρισμοί απαιτούν primary-source verification.,Safe Continual Reinforcement Learning Methods for Nonstationary Environments. Towards a Survey of the State of the Art,https://arxiv.org/abs/2601.05152,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-0882A9B2B0,κύρια,επαληθευμένη,Σχετικές εργασίες; Πειραματικό περιβάλλον; Train-test protocol; Baselines,generalization; interpolation; extrapolation; environment randomization,ναι,Θεμελιώνει controlled in-distribution και out-of-distribution evaluation.,Assessing Generalization in Deep Reinforcement Learning,https://arxiv.org/abs/1810.12282,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-09DD20BA85,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Observation noise; Μοντέλα; Μετρικές; Trade-offs,observational robustness; stochastic kernel; lexicographic objectives; nominal utility,ναι,Θεμελιώνει bounded robustness και την υποχρεωτική κοινή αναφορά clean utility και disturbed performance.,Bounded Robustness in Reinforcement Learning via Lexicographic Objectives,https://arxiv.org/abs/2209.15320,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-0A4AFAC8E9,κύρια,επαληθευμένη,Πειραματικό πρωτόκολλο; Στατιστική ανάλυση; Αναπαραγωγιμότητα; Threats to validity,few-run evaluation; bootstrap confidence intervals; IQM; performance profiles,ναι,Κεντρική πηγή για αξιόπιστη σύγκριση stochastic RL algorithms.,Deep Reinforcement Learning at the Edge of the Statistical Precipice,https://arxiv.org/abs/2108.13264,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-0A594EACC0,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Ερευνητικά ερωτήματα; Μετρικές; Στατιστική ανάλυση; Threats to validity,resilience definition; reference curve; failure profile; recovery profile; repeated disruptions,ναι,Κύρια πηγή για process-based resilience και curve-based recovery metrics· η multi-agent μεθοδολογία θα προσαρμοστεί ρητά σε single-agent χρήση.,Cooperative Resilience in Artificial Intelligence Multiagent Systems,https://doi.org/10.1109/tai.2025.3567371,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-0A8E4489E8,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Change detection; Adaptive baselines; Πειραματικό πρωτόκολλο; Threats to validity,MASTER; multi-scale detection; stationarity tests; adaptive restart; prior knowledge; dynamic regret,ναι,Τεκμηριώνει non-oracle multi-scale restart και την ανάγκη επισήμανσης oracle reset/window tuning· το πλήρες black-box algorithm είναι εκτός βασικού implementation scope.,https---proceedings.mlr.press-v134-wei21b-wei21b.pdf,https://proceedings.mlr.press/v134/wei21b/wei21b.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-0AEF7EF16A,κύρια,επαληθευμένη,Σχετικές εργασίες; Επιλογή μοντέλων; Μεθοδολογία; Πειραματικά σενάρια; Μετρικές,Bayesian robust RL; URBE; changing dynamics; GridWorld; recovery; conservativeness,ναι,Ισχυρός υποψήφιος adaptive-robust model/baseline και άμεσο evidence για recovery μετά από dynamic change· απαιτεί feasibility pilot.,A Bayesian Approach to Robust Reinforcement Learning - Association for Uncertainty in Artificial Int,https://auai.org/uai2019/proceedings/papers/228.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-0F8A6588DC,κύρια,επαληθευμένη,Σχετικές εργασίες; Πειραματικό περιβάλλον; Taxonomy αλλαγών; Μετρικές; Threats to validity,NovGrid; novelty adaptation; object change; action change; recovery; adaptive efficiency,ναι,"Κεντρική benchmark πηγή για sudden-change injection και χωριστές μετρικές πτώσης, ανάκαμψης και τελικής επίδοσης.",NovGrid: A Flexible Grid World for Evaluating Agent Response to Novelty,https://arxiv.org/abs/2203.12117,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-13B66B20D8,κύρια,επαληθευμένη,,GridWorld; ενισχυτική μάθηση με μοντέλο; περιβάλλοντα και benchmarks,ναι,Συγχρονισμός από canonical analysis.,BALLOCH-DISSERTATION-2024.pdf,,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-153C917DE1,υποστηρικτική,επαληθευμένη,Σχετικές εργασίες; Πειραματικό περιβάλλον; Μοντέλα; Μετρικές; Threats to validity,contextual meta-gradients; adaptive exploration; gridworld; change rate; context signals,ναι,Τεκμηριώνει adaptive exploration και controlled GridWorld shifts· πλήρης meta-gradient υλοποίηση απαιτεί feasibility check.,https---proceedings.mlr.press-v199-luketina22a-luketina22a.pdf,https://proceedings.mlr.press/v199/luketina22a/luketina22a.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-19858252B7,υποστηρικτική,επαληθευμένη,Safe transfer; Exploration; Μετρικές; Agent architectures; Threats to validity,safe guide; reward-free RL; policy distillation; safety jump-start; time to safety; time to optimum,ναι,Ισχυρή πηγή για safe-transfer metrics και gradual guide removal· απαιτεί source/target safety-dynamics compatibility και mismatch ablation.,Reinforcement Learning by Guided Safe Exploration,https://arxiv.org/abs/2307.14316,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-19C2E91926,υποστηρικτική,επαληθευμένη,Detection baselines; OOD benchmark; Perturbation taxonomy; Μετρικές; Threats to validity,RL OOD detection; dynamics shift; observation corruption; severity; ensembles; detection metrics,ναι,"RL-specific OOD benchmark· static OOD scores συμπληρώνονται με false alarms, detection delay και missed-change rate στο sequential protocol.",Benchmark for Out-of-Distribution Detection in Deep Reinforcement Learning,https://arxiv.org/abs/2112.02694,84d62ec3eb18e1d3565625bc02c289131282ea27
