Κωδικός,Τίτλος,Συγγραφείς,Έτος,Σύνδεσμος,Τύπος,Θέματα,Κατάσταση,Επιβεβαίωση,Προτεραιότητα,Σημειώσεις
SRC-01BBBA7EAB,Robust Reinforcement Learning in POMDPs with Incomplete and Noisy Observations,Yuhui Wang; Hao He; Xiaoyang Tan,2019,https://arxiv.org/abs/1902.05795,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-1902.05795 | Αυτόματη διόρθωση παλιού έτους: 1902
SRC-0406E13B97,Safe Continual Reinforcement Learning Methods for Nonstationary Environments. Towards a Survey of the State of the Art,Timofey Tomashevskiy,2026,https://arxiv.org/abs/2601.05152,ακαδημαϊκή εργασία,μη στασιμότητα; ασφαλής ενισχυτική μάθηση; μερική παρατηρησιμότητα; συνεχής προσαρμογή; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2601.05152 | Αυτόματη διόρθωση παλιού έτους: 1998
SRC-0882A9B2B0,Assessing Generalization in Deep Reinforcement Learning,Charles Packer; Katelyn Gao; Jernej Kos; Philipp Krähenbühl; Vladlen Koltun; Dawn Song,2018,https://arxiv.org/abs/1810.12282,ακαδημαϊκή εργασία,μη στασιμότητα; GridWorld; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-1810.12282
SRC-09DD20BA85,Bounded Robustness in Reinforcement Learning via Lexicographic Objectives,Daniel Jarne Ornia; Licio Romao; Lewis Hammond; Manuel Mazo; Alessandro Abate,2022,https://arxiv.org/abs/2209.15320,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; αβεβαιότητα παρατηρήσεων; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; αβεβαιότητα μεταβάσεων,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2209.15320
SRC-0A4AFAC8E9,Deep Reinforcement Learning at the Edge of the Statistical Precipice,Rishabh Agarwal; Max Schwarzer; Pablo Samuel Castro; Aaron Courville; Marc G. Bellemare,2021,https://arxiv.org/abs/2108.13264,ακαδημαϊκή εργασία,βαθιά ενισχυτική μάθηση; στατιστική αξιολόγηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2108.13264
SRC-0A594EACC0,Cooperative Resilience in Artificial Intelligence Multiagent Systems,Manuela Chacon-Chamorro; Luis Felipe Giraldo; Nicanor Quijano; Vicente Vargas-Panesso; César González; Juan Sebastián Pinzón; Rubén Manrique; Manuel Ríos; Yesid Fonseca; Daniel Gómez-Barrera; Mónica Perdomo-Pérez,2025,https://doi.org/10.1109/tai.2025.3567371,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη; μη στασιμότητα,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω Crossref,υψηλή,
SRC-0A8E4489E8,https---proceedings.mlr.press-v134-wei21b-wei21b.pdf,,2021,https://proceedings.mlr.press/v134/wei21b/wei21b.pdf,ακαδημαϊκή εργασία,μη στασιμότητα,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-0AEF7EF16A,A Bayesian Approach to Robust Reinforcement Learning - Association for Uncertainty in Artificial Int,,,https://auai.org/uai2019/proceedings/papers/228.pdf,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; ασφαλής ενισχυτική μάθηση; αβεβαιότητα παρατηρήσεων; βαθιά ενισχυτική μάθηση; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-0F8A6588DC,NovGrid: A Flexible Grid World for Evaluating Agent Response to Novelty,Jonathan Balloch; Zhiyu Lin; Mustafa Hussain; Aarun Srinivas; Robert Wright; Xiangyu Peng; Julia Kim; Mark Riedl,2022,https://arxiv.org/abs/2203.12117,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; GridWorld; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2203.12117 | Αυτόματη διόρθωση παλιού έτους: 2005
SRC-0FD9BE81AC,Continual Reinforcement Learning by Planning with Online World Models,Zichen Liu; Guoji Fu; Chao Du; Wee Sun Lee; Min Lin,2025,https://proceedings.mlr.press/v267/liu25p.html,ακαδημαϊκή εργασία,μη στασιμότητα; ενισχυτική μάθηση με μοντέλο; συνεχής προσαρμογή,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
